REASON,MOLECULE_NAME,SMILES,logP
Duplicate,102,CC12CCC3C(CC=C4CC(=O)CCC34C)C1CCC2O,"3,32"
Duplicate,103,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,"3,32"
Duplicate,104,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
Duplicate,105,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,"3,32"
Duplicate,106,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,"3,32"
Duplicate,108,C[C@]12CC[C@H]3[C@@H](CC=C4C=C(O)CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
Duplicate,109,CC12CCC3C(CC=C4C=C(O)CCC34C)C1CCC2O,"3,32"
Duplicate,111,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)=CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
Duplicate,112,CC12CCC3C(CC=C4CC(O)=CCC34C)C1CCC2O,"3,32"
Duplicate,114,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
Duplicate,115,CC12CCC3C(CCC4=CC(O)=CCC34C)C1CCC2O,"3,32"
Duplicate,117,CN(C)CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,"4,76"
Duplicate,118,CN(C)CC(CN1c2ccccc2Sc2ccccc12)N(C)C,"4,76"
Duplicate,119,CN(C)CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,"4,76"
Duplicate,121,CN1C2=C(NC=N2)C(=O)N(C)C1=O,"-0,03"
Duplicate,122,CN1c2nc[nH]c2C(=O)N(C)C1=O,"-0,03"
Duplicate,123,CN1C2=C(NC=N2)C(=O)N(C)C1=O,"-0,03"
Duplicate,124,CN1C2=C(N=CN2)C(=O)N(C)C1=O,"-0,03"
Duplicate,125,CN1C2=C(N=CN2)C(=O)N(C)C1=O,"-0,03"
Duplicate,127,CN1C2=NC=NC2=C(O)N(C)C1=O,"-0,03"
Duplicate,130,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,131,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,132,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,133,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,134,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,136,COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,"1,22"
Duplicate,138,COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)C(N2C1O)=C(O)O,"1,22"
Duplicate,139,COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)C(N2C1O)=C(O)O,"1,22"
Duplicate,140,COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)C(N2C1O)=C(O)O,"1,22"
Duplicate,142,COC1=CC=CC(OC)=C1C(O)=N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,143,COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,145,COC1=CC=CC(OC)=C1C(O)N=C1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,146,COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,147,COC1=CC=CC(OC)=C1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,148,COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
Duplicate,149,COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)C(O)=O,"1,22"
Duplicate,150,COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)C(O)=O,"1,22"
Duplicate,152,COC1=CC=CC(OC)=C1C(O)N=C1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,"1,22"
Duplicate,154,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,"1,22"
Duplicate,155,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2C(O)=O,"1,22"
Duplicate,156,COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,"1,22"
Duplicate,157,COc1cccc(OC)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,"1,22"
Duplicate,158,COc1cccc(OC)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,"1,22"
Duplicate,159,COc1cccc(OC)c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,"1,22"
Duplicate,160,COC1=CC=CC(OC)=C1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,"1,22"
Duplicate,161,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2C(O)=O,"1,22"
Duplicate,162,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,"1,22"
Duplicate,163,COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2C(O)=O,"1,22"
Duplicate,165,COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)[C@@H](N2C1O)C(O)=O,"1,22"
Duplicate,167,COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,"1,22"
Duplicate,168,COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2C1SC(C)(C)C2C(O)=O,"1,22"
Duplicate,169,COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)C(N2C1O)C(O)=O,"1,22"
Duplicate,170,COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)[C@@H](N2C1O)C(O)=O,"1,22"
Duplicate,173,NC1=CC=C(C=C1)C(O)N=C=C(O)O,"-0,89"
Duplicate,175,NC1=CC=C(C=C1)C(O)=NC=C(O)O,"-0,89"
Duplicate,177,NC1=CC=C(C=C1)C(O)=NCC(O)=O,"-0,89"
Duplicate,178,NC1=CC=C(C=C1)C(=O)NC=C(O)O,"-0,89"
Duplicate,179,NC1=CC=C(C=C1)C(=O)NC=C(O)O,"-0,89"
Duplicate,180,NC1=CC=C(C=C1)C(=O)NCC(O)=O,"-0,89"
Duplicate,181,NC1=CC=C(C=C1)C(=O)NCC(O)=O,"-0,89"
Duplicate,182,Nc1ccc(cc1)C(=O)NCC(O)=O,"-0,89"
Duplicate,183,Nc1ccc(cc1)C(=O)NCC(O)=O,"-0,89"
Duplicate,184,NC1=CC=C(C=C1)C(O)N=CC(O)=O,"-0,89"
Duplicate,186,NC1=CC=C(C=C1)C(=O)N=CC(O)O,"-0,89"
Duplicate,188,OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,"1,89"
Duplicate,189,OC(=O)c1ccc(cc1)[N+]([O-])=O,"1,89"
Duplicate,190,OC(=O)c1ccc(cc1)[N+]([O-])=O,"1,89"
Duplicate,191,OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,"1,89"
Duplicate,194,NC(S)=C,"-0,26"
Duplicate,195,CC(N)=S,"-0,26"
Duplicate,196,CC(N)=S,"-0,26"
Duplicate,197,CC(S)=N,"-0,26"
Duplicate,198,CC(S)=N,"-0,26"
Duplicate,200,COC(=O)C1=CCCN(C)C1,"0,35"
Duplicate,201,COC(=O)C1=CCCN(C)C1,"0,35"
Duplicate,203,CCOS(=O)(=O)OCC,"1,14"
Duplicate,205,CC(C)O,"0,05"
Duplicate,207,CC(O)=C,"-0,24"
Duplicate,209,CC(C)=O,"-0,24"
Duplicate,210,CC(C)=O,"-0,24"
Duplicate,213,CS(O)=C,"-1,35"
Duplicate,214,CS(C)=O,"-1,35"
Duplicate,215,CS(C)=O,"-1,35"
Duplicate,217,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,"-0,13"
Duplicate,218,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,"-0,13"
Duplicate,220,OC1=NC2=C(O)N=C(O)N=C2N1,"0,18"
Duplicate,221,OC1=NC2=NC(O)=NC(O)=C2N1,"0,18"
Duplicate,222,OC1=NC(O)=C2NC(=O)NC2=N1,"0,18"
Duplicate,223,OC1=NC(O)=C2NC(=O)NC2=N1,"0,18"
Duplicate,224,OC1=NC2=C(N1)N=C(O)NC2=O,"0,18"
Duplicate,225,OC1=NC2=C(N1)N=C(O)NC2=O,"0,18"
Duplicate,226,OC1=NC2=C(N1)C(=O)NC(O)=N2,"0,18"
Duplicate,227,OC1=NC2=C(N1)C(=O)NC(=O)N2,"0,18"
Duplicate,228,OC1=NC2=C(N1)C(=O)NC(=O)N2,"0,18"
Duplicate,229,OC1=NC2=C(N1)NC(=O)NC2=O,"0,18"
Duplicate,230,OC1=NC2=C(N1)NC(=O)NC2=O,"0,18"
Duplicate,231,OC1=NC2=C(N1)C(=O)N=C(O)N2,"0,18"
Duplicate,232,OC1=NC2=C(N1)C(=O)N=C(O)N2,"0,18"
Duplicate,233,OC1=NC2=C(N1)NC(O)=NC2=O,"0,18"
Duplicate,234,OC1=NC2=C(N1)NC(O)=NC2=O,"0,18"
Duplicate,235,OC1=NC2=C(N1)NC(=O)N=C2O,"0,18"
Duplicate,236,OC1=NC2=C(N1)NC(=O)N=C2O,"0,18"
Duplicate,237,OC1=NC2=C(N1)C(O)=NC(=O)N2,"0,18"
Duplicate,238,OC1=NC2=C(N1)C(O)=NC(=O)N2,"0,18"
Duplicate,239,O=C1NC2=C(N1)C(=O)NC(=O)N2,"0,18"
Duplicate,240,O=c1[nH]c2[nH]c(=O)[nH]c(=O)c2[nH]1,"0,18"
Duplicate,241,O=C1NC2=C(N1)C(=O)NC(=O)N2,"0,18"
Duplicate,242,O=C1NC2=C(N1)C(=O)NC(=O)N2,"0,18"
Duplicate,243,O=C1NC2=C(N1)C(=O)NC(=O)N2,"-2,17"
Duplicate,244,OC1=NC(=O)C2=C(NC(=O)N2)N1,"0,18"
Duplicate,245,OC1=NC(=O)C2=C(NC(=O)N2)N1,"0,18"
Duplicate,246,OC1=NC(=O)NC2=C1NC(=O)N2,"0,18"
Duplicate,247,OC1=NC(=O)NC2=C1NC(=O)N2,"0,18"
Duplicate,248,OC1=C2NC(=O)N=C2NC(=O)N1,"0,18"
Duplicate,249,OC1=C2NC(=O)N=C2NC(=O)N1,"0,18"
Duplicate,250,OC1=NC2=C(NC(=O)N2)C(=O)N1,"0,18"
Duplicate,251,OC1=NC2=C(NC(=O)N2)C(=O)N1,"0,18"
Duplicate,252,OC1=C2NC(=O)NC2=NC(=O)N1,"0,18"
Duplicate,253,OC1=NC2=NC(=O)NC2=C(O)N1,"0,18"
Duplicate,254,OC1=NC2=NC(=O)NC(O)=C2N1,"0,18"
Duplicate,255,OC1=NC2=NC(=O)NC(O)=C2N1,"0,18"
Duplicate,256,OC1=NC2=C(O)NC(=O)NC2=N1,"0,18"
Duplicate,257,OC1=NC(O)=C2NC(=O)N=C2N1,"0,18"
Duplicate,258,OC1=NC(O)=C2NC(=O)N=C2N1,"0,18"
Duplicate,259,OC1=NC2=C(O)NC(=O)N=C2N1,"0,18"
Duplicate,260,OC1=NC2=C(O)NC(=O)N=C2N1,"0,18"
Duplicate,261,OC1=NC2=C(O)NC(O)=NC2=N1,"0,18"
Duplicate,262,OC1=NC2=C(O)N=C(O)NC2=N1,"0,18"
Duplicate,265,NCCCC(N)=C(O)O,"-4,22"
Duplicate,267,NCCC=C(N)C(O)O,"-4,22"
Duplicate,269,NCCCC(=N)C(O)O,"-4,22"
Duplicate,270,NCCCC(N)C(O)=O,"-4,22"
Duplicate,271,NCCCC(N)C(O)=O,"-4,22"
Duplicate,273,CC1=CC=C(C=C1)S(N)(=O)=O,"0,82"
Duplicate,274,Cc1ccc(cc1)S(N)(=O)=O,"0,82"
Duplicate,275,Cc1ccc(cc1)S(N)(=O)=O,"0,82"
Duplicate,276,CC1=CC=C(C=C1)S(O)(=N)=O,"0,82"
Duplicate,277,CC1=CC=C(C=C1)S(O)(=N)=O,"0,82"
Duplicate,279,CC#C,"0,94"
Duplicate,281,CC(C)Cl,"1,90"
Duplicate,283,CC1CO1,"0,03"
Duplicate,288,CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,290,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,291,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,292,CC1(O)CCC2C3CC=C4CC(O)=CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,294,CC1(O)CCC2C3CC=C4C=C(O)CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,296,CC1(O)CCC2C3CCC4=CC(O)=CCC4(C)C3(F)C(O)CC12C,"2,38"
Duplicate,298,CCC(Br)(CC)C(=O)N=C(N)O,"1,54"
Duplicate,299,CCC(Br)(CC)C(=O)N=C(N)O,"1,54"
Duplicate,300,CCC(Br)(CC)C(O)=NC(N)=O,"1,54"
Duplicate,301,CCC(Br)(CC)C(O)=NC(N)=O,"1,54"
Duplicate,302,CCC(Br)(CC)C(O)=NC(O)=N,"1,54"
Duplicate,303,CCC(Br)(CC)C(O)=NC(O)=N,"1,54"
Duplicate,304,CCC(Br)(CC)C(=O)NC(N)=O,"1,54"
Duplicate,305,CCC(Br)(CC)C(=O)NC(N)=O,"1,54"
Duplicate,306,CCC(Br)(CC)C(=O)NC(N)=O,"1,54"
Duplicate,307,CCC(Br)(CC)C(=O)NC(O)=N,"1,54"
Duplicate,310,OC(O)=CC(O)(C=C(O)O)C(O)=O,"-1,64"
Duplicate,312,OC(O)=CC(O)(CC(O)=O)C(O)=O,"-1,64"
Duplicate,313,OC(=O)CC(O)(CC(O)=O)C(O)=O,"-1,64"
Duplicate,314,OC(=O)CC(O)(CC(O)=O)C(O)=O,"-1,64"
Duplicate,315,OC(=O)CC(O)(CC(O)=O)C(O)=O,"-1,64"
Duplicate,317,CCOP(=O)(OCC)OCC,"0,80"
Duplicate,319,CC(=C)C=C,"2,42"
Duplicate,322,CC(O)=C=N,"-0,94"
Duplicate,324,CC(O)C#N,"-0,94"
Duplicate,325,OC(=C)C=N,"-0,94"
Duplicate,327,CC(=O)C=N,"-0,94"
Duplicate,329,CC(C)=C(O)O,"0,94"
Duplicate,331,CC(C)C(O)=O,"0,94"
Duplicate,332,CC(C)C(O)=O,"0,94"
Duplicate,334,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,"0,97"
Duplicate,335,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,"0,97"
Duplicate,338,CCC(N)=C(O)O,"-2,54"
Duplicate,339,CC=C(N)C(O)O,"-2,54"
Duplicate,341,CCC(=N)C(O)O,"-2,54"
Duplicate,343,CCC(N)C(O)=O,"-2,54"
Duplicate,344,CCC(N)C(O)=O,"-2,54"
Duplicate,346,COC(=O)C(C)=C,"1,38"
Duplicate,347,COC(=O)C(C)=C,"1,38"
Duplicate,349,OC1=NS(=O)(=O)C2=CC=CC=C12,"0,91"
Duplicate,350,OC1=NS(=O)(=O)C2=CC=CC=C12,"0,91"
Duplicate,351,O=C1NS(=O)(=O)C2=CC=CC=C12,"0,91"
Duplicate,352,O=C1NS(=O)(=O)C2=CC=CC=C12,"0,91"
Duplicate,354,OS1(=O)=NC(=O)C2=CC=CC=C12,"0,91"
Duplicate,356,NC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,"3,74"
Duplicate,357,NC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,"3,74"
Duplicate,358,Nc1cccc2C(=O)c3ccccc3C(=O)c12,"3,74"
Duplicate,360,O=C1C(=O)C2=CC=CC3=C2C1=CC=C3,"1,95"
Duplicate,361,O=C1C(=O)c2cccc3cccc1c23,"1,95"
Duplicate,362,O=C1C(=O)c2cccc3cccc1c23,"1,95"
Duplicate,363,O=C1C(=O)C2=C3C1=CC=CC3=CC=C2,"1,95"
Duplicate,365,CN1C=CC(=O)C2=CC=CC=C12,"0,44"
Duplicate,366,CN1C=CC(=O)c2ccccc12,"0,44"
Duplicate,367,CN1C=CC(=O)C2=CC=CC=C12,"0,44"
Duplicate,369,NC(=O)C1CCN(CCCN2C3=CC(Cl)=CC=C3SC3=C2C=CC=C3)CC1,"4,44"
Duplicate,370,NC(=O)C1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,"4,44"
Duplicate,371,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,"4,44"
Duplicate,372,OC(=N)C1CCN(CCCN2C3=CC(Cl)=CC=C3SC3=C2C=CC=C3)CC1,"4,44"
Duplicate,374,OC1=CC=C(C2=CC=CC=C12)S(O)(=O)=O,"-0,44"
Duplicate,375,OC1=CC=C(C2=CC=CC=C12)S(O)(=O)=O,"-0,44"
Duplicate,376,Oc1ccc(c2ccccc12)S(O)(=O)=O,"-0,44"
Duplicate,378,OC(=O)C1=C2C=CC=CC2=CC=C1,"3,10"
Duplicate,379,OC(=O)C1=C2C=CC=CC2=CC=C1,"3,10"
Duplicate,380,OC(=O)c1cccc2ccccc12,"3,10"
Duplicate,381,OC(=O)c1cccc2ccccc12,"3,10"
Duplicate,382,OC(=O)c1cccc2ccccc12,"3,10"
Duplicate,384,COC1=CC(C=O)=CC(OC)=C1OC,"1,39"
Duplicate,385,COC1=CC(C=O)=CC(OC)=C1OC,"1,39"
Duplicate,386,COc1cc(C=O)cc(OC)c1OC,"1,39"
Duplicate,388,OC(O)=CC1=CNC2=CC=CC=C12,"1,41"
Duplicate,390,OC(=O)CC1=CNC2=CC=CC=C12,"1,41"
Duplicate,391,OC(=O)Cc1c[nH]c2ccccc12,"1,41"
Duplicate,392,OC(=O)Cc1c[nH]c2ccccc12,"1,41"
Duplicate,394,CC1=CC=CC(C)=C1N,"1,84"
Duplicate,395,CC1=CC=CC(C)=C1N,"1,84"
Duplicate,397,CCOC(=O)C(O)C(O)C(=O)OCC,"-0,29"
Duplicate,398,CCOC(=O)C(O)C(O)C(=O)OCC,"-0,29"
Duplicate,400,FC(F)(F)C1=CC=CC=C1Cl,"3,53"
Duplicate,401,FC(F)(F)C1=C(Cl)C=CC=C1,"3,53"
Duplicate,403,NC(=O)C1=CC=CC=C1C(N)=O,"-1,73"
Duplicate,404,NC(=O)C1=CC=CC=C1C(N)=O,"-1,73"
Duplicate,405,NC(=O)c1ccccc1C(N)=O,"-1,73"
Duplicate,406,NC(=O)c1ccccc1C(N)=O,"-1,73"
Duplicate,407,NC(=O)C1=CC=CC=C1C(O)=N,"-1,73"
Duplicate,408,OC(=N)C1=CC=CC=C1C(O)=N,"-1,73"
Duplicate,409,OC(=N)C1=CC=CC=C1C(O)=N,"-1,73"
Duplicate,411,OC(=O)C1=CC=CC=C1C(O)=O,"0,73"
Duplicate,412,OC(=O)C1=C(C=CC=C1)C(O)=O,"0,73"
Duplicate,413,OC(=O)c1ccccc1C(O)=O,"0,73"
Duplicate,415,[O-][N+](=O)C1=C(Cl)C=C(Cl)C(Cl)=C1,"3,48"
Duplicate,416,[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1Cl,"3,48"
Duplicate,418,ClC1=CC=CC=C1C=O,"2,33"
Duplicate,419,ClC1=CC=CC=C1C=O,"2,33"
Duplicate,420,Clc1ccccc1C=O,"2,33"
Duplicate,422,CC1=CC=CC2=CC=CC=C12,"3,87"
Duplicate,423,CC1=CC=CC2=CC=CC=C12,"3,87"
Duplicate,424,Cc1cccc2ccccc12,"3,87"
Duplicate,426,OC1=C2C=CC=CC2=CC2=CC=CC=C12,"3,66"
Duplicate,428,O=C1C2=CC=CC=C2CC2=CC=CC=C12,"3,66"
